,log_time_taken,log_cs_byte,log_ratio_trans_receive,log_count_connect_IP,log_count_total_connect,log_avg_count_connect,log_transmit_speed_BPS,Business.time,no_url,target,epoch,d_loss,g_loss,Destination,Destination Port,Destination_ip_port,Filter,LABEL
0,0.49667177,0.22599,0.62929887,0.2817012,0.5219932,0.9996667,0.38333213,0,0.9941559,0.06342092,49,-0.012481808,0.074133828,255.255.255.255,1,255.255.255.255:1,1,ssh
1,0.62575936,0.33521312,0.5327351,0.951154,0.48133582,0.9996006,0.48039767,0,0.99974775,0.11923829,49,-0.02326229,-0.006177505,255.255.255.255,1,255.255.255.255:1,1,ssh
2,0.32623777,0.1515815,0.15575898,0.1696499,0.5416429,0.9988848,0.5363025,0,0.99875647,0.020187706,49,-0.017590029,-0.051499084,255.255.255.255,1,255.255.255.255:1,1,ssh
3,0.82421494,0.46468547,0.6300452,0.9617376,0.7134088,0.99985164,0.37654513,0,0.9999864,0.012199611,49,-0.01677046,-0.033172291,255.255.255.255,1,255.255.255.255:1,1,ssh
4,0.94976085,0.36675572,0.6456716,0.8486052,0.868565,0.9987658,0.35167953,0,0.99887085,0.03564465,49,-0.010651106,0.085319929,255.255.255.255,1,255.255.255.255:1,1,ssh
5,0.20343934,0.2896515,0.79034996,0.915003,0.000519663,0.99999255,0.22334561,1,0.9975891,0.079420626,49,-0.010651106,0.085319929,255.255.255.255,1,255.255.255.255:1,1,ssh
6,1,0.23771316,0.9361478,0.76572293,0.99999994,0.99978507,0.056192696,0,0.99998474,0.030332297,49,-0.010943765,-0.096379608,255.255.255.255,1,255.255.255.255:1,1,ssh
7,0.71617985,0.2992006,0.9999999,0.9246361,0.5715014,0.99998546,0,1,0.998703,0.019035965,49,-0.010943765,-0.096379608,255.255.255.255,1,255.255.255.255:1,1,ssh
8,0.8828425,0.57950675,0.60679185,0.9106585,0.7436348,0.9974941,0.6042154,0,0.99980164,0,49,-0.011670936,0.071419716,255.255.255.255,1,255.255.255.255:1,1,ssh
9,0.7658315,0.4974617,0.74071884,0.9515962,0.5878184,0.97864425,0.20865178,0,0.9978728,0.031100482,49,-0.03327328,-0.043634474,255.255.255.255,1,255.255.255.255:1,1,ssh
10,0.2393462,0.52452826,0.39012218,0.00307396,0.5257422,0,0.6596572,0,1,0.03430772,49,-3.74E-05,0.044239797,255.255.255.255,1,255.255.255.255:1,1,ssh
11,0.30839702,0.70351696,0.5089043,0.01053762,0.4455784,0.9977545,0.6377442,0,0.9999733,0.010457307,49,-0.013853244,-0.051129982,255.255.255.255,1,255.255.255.255:1,1,ssh
12,0.9733072,0.17916411,0.7444434,0.9577833,0.84597826,0.99952394,0.25649473,0,0.9999978,0.19958442,49,-0.012755306,0.010820901,255.255.255.255,1,255.255.255.255:1,1,ssh
13,0.8870875,0.28649688,0.6393435,0.91808826,0.7864007,0.9995106,0.41927242,0,0.9997091,0.014569193,49,-0.03239869,0.081767961,255.255.255.255,1,255.255.255.255:1,1,ssh
14,0.79322374,0.4173528,0.6244453,0.9674921,0.6001963,0.99926585,0.30874994,0,0.9999196,0.07448518,49,-0.006350749,0.092732266,255.255.255.255,1,255.255.255.255:1,1,ssh
15,0.36306372,0.19582427,0.5899062,0.87983537,0.06773175,0.9999377,0.2947022,1,0.9999252,0.07372826,49,-0.006350749,0.092732266,255.255.255.255,1,255.255.255.255:1,1,ssh
16,0.31420034,1,0.37131026,0.8853505,0.33102283,0.9999645,0.9266703,0.99999994,0.9998857,0.21780682,49,-0.012437162,0.096124724,255.255.255.255,1,255.255.255.255:1,1,ssh
17,0.7965028,0.025496453,0.63004136,1,0.49184313,0,0.2456446,0,1,0.024863929,49,-0.012437162,0.096124724,255.255.255.255,1,255.255.255.255:1,1,ssh
18,0.13193205,0,0.48896652,0.11178414,0.22718307,0,0.24305502,0,1,0.24693958,49,-0.068115681,0.073550113,255.255.255.255,1,255.255.255.255:1,1,ssh
19,0.46775037,0.51684964,0.5485736,0.9281228,0.27612332,0.9999852,0.42797258,1,0.999971,0.21860091,49,-0.02383806,0.005595883,255.255.255.255,1,255.255.255.255:1,1,ssh
20,0.35844475,0.020735204,0.68340635,0.8053855,0.21984053,0.9999606,0.19191325,1,0.9998734,0.09112179,49,-0.030527391,0.094584353,255.255.255.255,1,255.255.255.255:1,1,ssh
21,0.070910096,0.10343599,0.69508636,0.6337524,0,0.9999946,0.19614685,0.9927317,0.9999306,0.08597836,49,-0.030527391,0.094584353,255.255.255.255,1,255.255.255.255:1,1,ssh
22,0.774995,0.2890749,0.39295518,0.95883495,0.60307896,0.9989869,0.60783505,0,0.9999856,0.111344725,49,-0.030527391,0.094584353,255.255.255.255,1,255.255.255.255:1,1,ssh
